job_title,company_name,company_location,job_url
b'Prozesssoftwareentwickler Python / Ingenieur Elektrotechnik (m/w/d)',b'ibb Konstruktionsdienstleistungs GmbH',"b'Erlangen, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/prozesssoftwareentwickler-python-ingenieur-elektrotechnik-m-w-d-at-ibb-house-of-engineering-gmbh-3591943747?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=DiIa%2FQtIYXsQL8tFTY1SbQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Softwareentwickler (m/w/d) - Homeoffice / Remote',b'Zeitsprung Media GmbH',b'Germany',b'https://de.linkedin.com/jobs/view/junior-softwareentwickler-m-w-d-homeoffice-remote-at-zeitsprung-media-gmbh-3592025444?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=a%2Fnj4m02FnR2YYjIk7YA%2Fg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Software Developer (M/W/D)',b'Positive Thinking Company',"b'Heidelberg, Baden-W\xc3\xbcrttemberg, Germany'",b'https://de.linkedin.com/jobs/view/python-software-developer-m-w-d-at-positive-thinking-company-3569805247?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=v2fnjEaC5zeH6Xcdlyh1lw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'(Junior) Data Engineer (w/m/d)',b'WISAG',"b'Frankfurt am Main, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/junior-data-engineer-w-m-d-at-wisag-3586571800?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=%2F4tYY4j4njYBW92HiM896g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Advanced SQM Software (m/f/d) - 228897BR',b'Continental',"b'Frankfurt, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/advanced-sqm-software-m-f-d-228897br-at-continental-3588591465?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=VVOlakV6VJ1XrcWkPcguqA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'(Junior) Fullstack Developer (Java, Rust, Python, TypeScript) (m/w/d) #8109'",b'alphacoders',b'Germany',b'https://de.linkedin.com/jobs/view/junior-fullstack-developer-java-rust-python-typescript-m-w-d-%238109-at-alphacoders-3589816890?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=YNGS8NQIIkIXtEMZEEIHAA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Engineer - App Development (fulltime)',b'voize (YC W22)',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/software-engineer-app-development-fulltime-at-voize-yc-w22-3588705345?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=x9n2fL%2Bc0Tj%2BdZNZVr5NnQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Graduate Software Developer (Python)',b'Qdrant',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/graduate-software-developer-python-at-qdrant-3589271533?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=ZvL7mCCfEEAHCIZl44REdw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Praktikanten Entwicklungswerkstatt ab Juni 2023 (m/w/d)',b'Mercedes-AMG GmbH',"b'Stuttgart, Baden-W\xc3\xbcrttemberg, Germany'",b'https://de.linkedin.com/jobs/view/praktikanten-entwicklungswerkstatt-ab-juni-2023-m-w-d-at-mercedes-amg-gmbh-3591367990?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=G%2FMPCWreMi8K2Iioeien5g%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Analyst',b'Integration Consulting',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/business-analyst-at-integration-consulting-3590579133?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=6nsGlRD2pZ4pw9ZQBUQZNw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer London (Cryptocurrency Exchange)',b'Turn Block Talent',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-london-cryptocurrency-exchange-at-turn-block-talent-3587097993?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=mZqBETguhGeQSyGWNuwMSA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer (m/w/d)',b'robominds GmbH',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-m-w-d-at-robominds-gmbh-3578856684?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=0PdIF57AP7quwDO4tMW2Wg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'(Junior) Software Developer \xe2\x80\x93 Inhouse (w/m/d)',b'Energieversum GmbH & Co. KG',"b'G\xc3\xbctersloh, North Rhine-Westphalia, Germany'",b'https://de.linkedin.com/jobs/view/junior-software-developer-%E2%80%93-inhouse-w-m-d-at-energieversum-gmbh-co-kg-3591923174?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=%2BvAAf8G3LaWJnEV%2Fnii1tw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Developer/in (m/w/d)',b'DNS:NET Internet Service GmbH',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-in-m-w-d-at-dns-net-internet-service-gmbh-3588702357?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=yJC0PV4%2Bfja3O0Cf8Dbykg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Developer (m/w/x)',b'roastmarket',"b'Frankfurt, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-m-w-x-at-roastmarket-3577552898?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=kwgY5BEsowhizTf9oD6Msw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Senior Django / Python Developer',b'Divio Technologies AB',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/senior-django-python-developer-at-divio-technologies-ab-3590302538?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=QvHIH7CmiuLmpZNPWwFl7w%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Developer (m/w/x)',b'K-tronik GmbH',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-m-w-x-at-k-tronik-gmbh-3579727322?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=AHAWJgasDK3tLsN5CO5CrA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Junior Back End Developer (m/w/d)',b'apploft. GmbH',"b'Hamburg, Hamburg, Germany'",b'https://de.linkedin.com/jobs/view/junior-back-end-developer-m-w-d-at-apploft-gmbh-3584981518?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=uD3eI5j0w0Z0NAHfqryA8A%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Backend Developer (all genders)',b'pickshare',"b'Dortmund, North Rhine-Westphalia, Germany'",b'https://de.linkedin.com/jobs/view/backend-developer-all-genders-at-pickshare-3589265681?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=vXeMNhldYPJ3n19itQeebg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Developer',b'smart IoT',"b'Essen, North Rhine-Westphalia, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-at-smart-iot-3589815797?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=4lRtZkkWXY502eVSVMSanw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Web Engineer',b'SoundCloud',"b'Berlin, Germany'",b'https://de.linkedin.com/jobs/view/web-engineer-at-soundcloud-3588704465?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=01DFhttSp8hXhVojyHCGig%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'( Data / Analytics / BI ) Engineer',b'GoPuls',"b'Berlin, Germany'",b'https://de.linkedin.com/jobs/view/data-analytics-bi-engineer-at-gopuls-3588708289?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=DONN9JM1ttBtfKUnXDmEuQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Junior Fullstack Developer Python/SQL \xe2\x80\x93 Supply Chain (m/w/d)',b'flaschenpost SE',"b'M\xc3\xbcnster, North Rhine-Westphalia, Germany'",b'https://de.linkedin.com/jobs/view/junior-fullstack-developer-python-sql-%E2%80%93-supply-chain-m-w-d-at-flaschenpost-se-3584591239?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=eQN4thLv%2FiTHKCfQE%2BsWHA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card'
"b'Software Engineer, Python/Go'",b'AssemblyAI',"b'Berlin, Germany'",b'https://de.linkedin.com/jobs/view/software-engineer-python-go-at-assemblyai-3571417113?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=pl4cn9ZxXTd7VL5fsOhrRA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Developer (m/w/d)',b'advastore SE',"b'Traunstein, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-m-w-d-at-advastore-se-3571963768?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=SD9htldkhKA6XQUA%2FWId8g%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Software Developer (m/f/d) Python',b'MID GmbH',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/software-developer-m-f-d-python-at-mid-gmbh-3591924182?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=kVmur1tTkTxzz%2BvvcApTyA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'(Junior) Data Engineer - Python (w/m/d)',b'smartclip',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/junior-data-engineer-python-w-m-d-at-smartclip-3586233971?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=ykpsF3ed66dvQN8mjmONiQ%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card'
